job_id,topology,p_ws,gamma,epsilon,init_dist,run,n_clusters,polarised,std_opinion,mean_cluster_size,max_cluster_frac,convergence_step
0,ws,0.0,0.0,0.1,uniform,0,10,True,0.2830348075149122,100.0,0.119,1000
1,ws,0.0,0.0,0.1,uniform,1,10,True,0.2886812643903852,100.0,0.115,1000
2,ws,0.0,0.0,0.1,uniform,2,10,True,0.28622887831705984,100.0,0.136,1000
3,ws,0.0,0.0,0.1,uniform,3,10,True,0.2827331534984212,100.0,0.127,1000
4,ws,0.0,0.0,0.1,uniform,4,10,True,0.28903489998965687,100.0,0.125,1000
5,ws,0.0,0.0,0.1,uniform,5,10,True,0.2913257312251968,100.0,0.123,1000
6,ws,0.0,0.0,0.1,uniform,6,10,True,0.2851723325373064,100.0,0.131,1000
7,ws,0.0,0.0,0.1,uniform,7,10,True,0.28906120362474763,100.0,0.125,1000
8,ws,0.0,0.0,0.1,uniform,8,10,True,0.27447840698478587,100.0,0.124,1000
9,ws,0.0,0.0,0.1,uniform,9,10,True,0.2798244648702317,100.0,0.126,1000
10,ws,0.0,0.0,0.1,uniform,10,10,True,0.28806170771697553,100.0,0.13,1000
11,ws,0.0,0.0,0.1,uniform,11,10,True,0.283881121467263,100.0,0.121,1000
12,ws,0.0,0.0,0.1,uniform,12,10,True,0.2983103664754535,100.0,0.124,1000
13,ws,0.0,0.0,0.1,uniform,13,10,True,0.28164475675748146,100.0,0.123,1000
14,ws,0.0,0.0,0.1,uniform,14,10,True,0.28676120916976106,100.0,0.148,1000
15,ws,0.0,0.0,0.1,uniform,15,10,True,0.28330138112763387,100.0,0.127,1000
16,ws,0.0,0.0,0.1,uniform,16,10,True,0.29137265531731915,100.0,0.119,1000
17,ws,0.0,0.0,0.1,uniform,17,10,True,0.28291620159595693,100.0,0.128,1000
18,ws,0.0,0.0,0.1,uniform,18,10,True,0.2922508398826603,100.0,0.118,1000
19,ws,0.0,0.0,0.1,uniform,19,10,True,0.28825244149869783,100.0,0.123,1000
20,ws,0.0,0.0,0.1,uniform,20,10,True,0.2925913190449841,100.0,0.134,1000
21,ws,0.0,0.0,0.1,uniform,21,10,True,0.28504736724045215,100.0,0.116,1000
22,ws,0.0,0.0,0.1,uniform,22,10,True,0.2834555799745019,100.0,0.122,1000
23,ws,0.0,0.0,0.1,uniform,23,10,True,0.28259487605074185,100.0,0.123,1000
24,ws,0.0,0.0,0.1,uniform,24,10,True,0.2873360932776586,100.0,0.125,1000
25,ws,0.0,0.0,0.1,uniform,25,10,True,0.28519265511897285,100.0,0.128,1000
26,ws,0.0,0.0,0.1,uniform,26,10,True,0.28787522346806127,100.0,0.113,1000
27,ws,0.0,0.0,0.1,uniform,27,10,True,0.2870364331991859,100.0,0.12,1000
28,ws,0.0,0.0,0.1,uniform,28,10,True,0.291957976942838,100.0,0.113,1000
29,ws,0.0,0.0,0.1,uniform,29,10,True,0.27825197975030114,100.0,0.14,1000
30,ws,0.0,0.0,0.1,uniform,30,10,True,0.28474120753803644,100.0,0.133,1000
31,ws,0.0,0.0,0.1,uniform,31,10,True,0.29156164919776273,100.0,0.13,1000
32,ws,0.0,0.0,0.1,uniform,32,10,True,0.2879696207691095,100.0,0.118,1000
33,ws,0.0,0.0,0.1,uniform,33,10,True,0.2876502003009882,100.0,0.115,1000
34,ws,0.0,0.0,0.1,uniform,34,10,True,0.28305727323092394,100.0,0.121,1000
35,ws,0.0,0.0,0.1,uniform,35,10,True,0.2915729859014211,100.0,0.143,1000
36,ws,0.0,0.0,0.1,uniform,36,10,True,0.2821517904737676,100.0,0.138,1000
